site,plot,date,observer,start_time,activity,participants,temp_F,wind_km_h,Clouds_pct,humidity_pct,notes,year,season,
Waco,Area 111,6/2/2023,LR,13:39,Veg transects,LR,34.8,2.8,25.00%,50.10%,,2023,summer,
Waco,Area 111,6/2/2023,LR,16:47,Bee bowls up,LR,34.4,1.4,35.00%,42.60%,,2023,summer,
Waco,Area 12,6/11/2023,MC,9:30,Bee bowls down,MC,27.4,1.7,65.00%,76.40%,,2023,summer,
Waco,Area 12,6/11/2023,"MC, RK, ER, HA",11:17,AM netting,"MC, RK, ER, HA",31.7,0.7,45.00%,56.60%,,2023,summer,
Waco,Area 12,6/11/2023,"MC, RK, ER, HA",13:15,Milkweed transects,"MC, RK, ER, HA",32,3.2,40.00%,59.10%,QL1,2023,summer,
Waco,Area 12,6/11/2023,"MC, RK, ER, HA",14:25,PM netting,"MC, RK, ER, HA",31.5,1.5,50.00%,57.40%,,2023,summer,
Waco,Area 12,6/11/2023,LR,15:26,Bee bowls up,LR,32.7,1.4,55.00%,55.20%,,2023,summer,
Waco,Area 111,6/2/2023,"MC, RK, ER, HA",9:30,Bee bowls down,"MC, RK, ER, HA",30.9,0.4,<1%,68.80%,,2023,summer,
Waco,Area 112,6/2/2023,"MC, RK, ER, HA",10:25,Bee bowls down,"MC, RK, ER, HA",31.2,1.2,5.00%,61.10%,,2023,summer,
Waco,Area 112,6/2/2023,"MC, RK, ER, HA",10:45,AM netting,"MC, RK, ER, HA",30.2,1.9,10.00%,63.40%,,2023,summer,
Waco,Area 111,6/2/2023,"MC, RK, ER, HA",11:44,AM netting,"MC, RK, ER, HA",34.6,2.8,5.00%,57.60%,,2023,summer,
Waco,Area 112,6/2/2023,"MC, RK, ER, HA",15:14,PM netting,"MC, RK, ER, HA",31.5,0.8,35.00%,50.60%,,2023,summer,
Waco,Area 111,6/2/2023,"MC, RK, ER, HA",16:32,PM netting,"MC, RK, ER, HA",35.3,1.2,30.00%,45.80%,,2023,summer,
Waco,Area 112,6/2/2023,MC,17:25,Bee bowls up,MC,32.7,2.4,40.00%,51.70%,,2023,summer,
Waco,Area 12,6/5/2023,"EAL,MC",14:22,Veg transects,"EAL,MC",31.7,1.3,40.00%,54.30%,,2023,summer,
Waco,Area 111,6/5/2023,"EAL,MC",16:15,Veg transects,"EAL,MC",32.4,0.8,55.00%,55.10%,,2023,summer,
Whitney,Main,6/6/2023,"MC, RK, ER, HA",9:21,Bee bowls down,"MC, RK, ER, HA",28,0.8,20.00%,70.30%,,2023,summer,
Whitney,Main,6/6/2023,"MC, RK, ER, HA",10:30,AM netting,"MC, RK, ER, HA",28.5,1.6,40.00%,77.10%,,2023,summer,
Whitney,Main,6/6/2023,"MC, RK, ER, HA",14:22,PM netting,"MC, RK, ER, HA",30.3,1.2,60.00%,50.00%,,2023,summer,
Whitney,Main,6/6/2023,"MC, RK, ER, HA",15:15,Bee bowls up,"MC, RK, ER, HA",33.9,0.6,45.00%,48.60%,,2023,summer,
Whitney,Flood,6/7/2023,"MC, RK, ER, HA",9:05,Bee bowls down,"MC, RK, ER, HA",27.1,0.8,20.00%,71.40%,,2023,summer,
Whitney,Woods,6/7/2023,"MC, RK, ER, HA",9:45,Bee bowls down,"MC, RK, ER, HA",30.1,0.8,15.00%,65.40%,,2023,summer,
Whitney,Woods,6/7/2023,"MC, RK, ER, HA",10:00,AM netting,"MC, RK, ER, HA",30.4,0.6,20.00%,61.00%,,2023,summer,
Whitney,Flood,6/7/2023,"MC, RK, ER, HA",11:26,AM netting,"MC, RK, ER, HA",31.8,1.4,40.00%,55.80%,,2023,summer,
Whitney,Woods,6/7/2023,"MC, RK, ER, HA",14:50,PM netting,"MC, RK, ER, HA",34.2,0.7,45.00%,51.10%,,2023,summer,
Whitney,Woods,6/7/2023,"MC, RK, ER, HA",15:35,Bee bowls up,"MC, RK, ER, HA",36.8,1.1,60.00%,49.90%,,2023,summer,
Whitney,Flood,6/7/2023,"MC, RK, ER, HA",16:20,PM netting,"MC, RK, ER, HA",36.4,1.4,70.00%,22.50%,,2023,summer,
Whitney,Flood,6/7/2023,"MC, RK, ER, HA",17:05,Bee bowls up,"MC, RK, ER, HA",32.6,0.5,85.00%,54.80%,,2023,summer,
Whitney,Woods,6/6/2023,"MC, RK, ER, HA",16:20,Milkweed transects,"MC, RK, ER, HA",35.4,0.4,40.00%,52.20%,,2023,summer,
Whitney,Main,6/7/2023,"EL, LR",10:11,Milkweed transects,"EL, LR",29.8,0.7,20.00%,62.40%,,2023,summer,
Whitney,Flood,6/7/2023,"EL, LR",13:19,Milkweed transects,"EL, LR",33.3,0,35.00%,35.60%,,2023,summer,
