 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0001,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Papilionidae,Pailio,polyxenes, , ,"Pinned,Mouse damage",E. Rivera,CITE2, , , , , , , , , , , , , 
SWG23_0002,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,E. Rivera,MOCI,,,,,,,,,,,,,
SWG23_0003,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0004,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0005,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Apis,melifera,,,,E. Rivera,ROFO,,,,,,,,,,,,,
SWG23_0006,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Apis,melifera,,,,E. Rivera,ROFO,,,,,,,,,,,,,
SWG23_0007,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Coleoptera,Cleridae,Trichodes,bibalteatus,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0008,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Coleoptera,Melodidae,Nemognatha,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0009,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Diptera,Syrfidae,,,,,,E. Rivera,CITE2,,,,,,,,,,,,,
SWG23_0010,2 VI 23,Jha Lab,Waco Area 112,AM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Diptera,,,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0011,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Xylocopa,viriginica,,,,E. Rivera,MOCI,,,,,,,,,,,,,
SWG23_0012,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Apis,melifera,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0013,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Apis,melifera,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0014,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0015,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Diptera,Syfidae,,,,,,R. Kusumo,ROFO,,,,,,,,,,,,,
SWG23_0016,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Diptera,Tephritidae,,,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0017,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Diptera,Tephritidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0018,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Coleoptera,Chrysomelidae,,,,,,R. Kusumo,CITE2,,,,,,,,,,,,,
SWG23_0019,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Coleoptera,Cleridae,,,,,,H. Afshar,MOCI,,,,,,,,,,,,,
SWG23_0020,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Coleoptera,Meloidae,Nemognatha,,,,,E. Rivera,CITE2,,,,,,,,,,,,,
SWG23_0021,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Hesperiidae,Atalopedes,campestris,,,"Pinned, Mouse damage",H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0022,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Papilionidae,Papilio,polyxenes,,,"Pinned, Mouse damage",M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0023,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Nymphalidae,Asterocampa,celtis,,,"Pinned, Mouse damage",M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0024,2 VI 23,Jha Lab,Waco Area 112,PM Netting,TX: McClennan Co; Waco,"31.548 N, 97.253 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,Pinned ,M. Caballero,MOCI,,,,,,,,,,,,,
SWG23_0025,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Halictidae,Lasioglossum (Dialictus),disparile,F,,,E. Rivera,RACO3,,Done,,,,,,,,,,,
SWG23_0026,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Hymenoptera,Apidae,Xylocopa,virginica,,,,R. Kusumo,MOCI,,,,,,,,,,,,,
