site,plot,date,observer,start_time,transectID,position,herb,wood,litter,bare,rocky,canopy,automatic_sum,notes,year,season,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,0,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,3,11,0,5,0,0,0.5,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,6,12.5,0.5,3,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,9,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,12,4,0,12,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,15,9,0,4.5,2.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,18,10.5,0,2,3.5,0,0.5,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,21,11.5,0,4,0.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,24,12,0,3.5,0.5,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,27,12,0,3,1,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,30,12.5,0,3.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,33,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,36,4.5,0,11.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,39,2.5,0,13.5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,42,3,0,13,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,45,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,13:34,QL1,48,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,0,9,0,7,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,3,11,0,5,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,6,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,9,7,0,9,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,12,9,0,7,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,15,6,0,10,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,18,12,0,4,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,21,3,0,13,0,0,0,16,,2023,summer,,,,,,,,,,,
Whitney,Flood,6/7/2023,EAL,14:12,CENTER,24,10,0,6,0,0,0,16,,2023,summer,,,,,,,,,,,
