site,plot,date,observer,transectID,start_time,position,field_plant_sp,inflor_count,true_plant_sp,notes,year,season,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,0,VILU,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,0,DAPU3,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,3,MOCI,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,6,EVVE,11,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,6,STNEN,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,9,VILU,3,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,12,PATA5,1,,inat MAC,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,15,VILU,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,18,ACO3,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,18,MOCI,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,18,DAPU3,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,21,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,24,VILU,7,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,27,EVVE,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,27,VILU,8,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,27,GAPU,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,30,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,33,PATA5,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,36,CHTA,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,36,GAPU,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,39,GAPU,3,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,39,MOCI,4,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,42,SCDR,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,42,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,45,SCDR,12,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,45,MOCI,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,45,VILU,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,48,PATA5,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/1/2023,LR,QL1,13:12,48,SCDR,3,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL1,13:12,48,DAPU3,11,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,0,MOCI,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,3,CRMO_,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,3,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,6,BIAM,4,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,6,STNIN,12,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,9,HERER,6,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,12,HERER,178,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,15,STNIN,12,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,18,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,21,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,24,EVVE,24,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,24,MOCI,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,27,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,30,SCRATCH DAISY,2,,EAL iNAT,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,33,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,36,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,39,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,42,STNIN,12,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,42,EVVE,6,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,45,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,CENTER,13:12,48,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,0,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,3,STNIN,9,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,3,PATA5,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,6,MOCT,4,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,6,STNIN,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,6,PATA5,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,9,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,12,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,15,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,18,TOAR,15,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,21,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,24,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,24,EVVE,25,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,27,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,27,PATA5,2,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,30,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,33,NONE,0,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,36,MOCI,1,,,2023,summer,,,,,,,,,,,,,,,
Waco,Area 12,6/5/2023,LR,QL2,15:08,36,CETE2,8,,,2023,summer,,,,,,,,,,,,,,,
