Site,Plot,Date,Time,Observer,Transect,Position,OW Bluestem TL,OW Bluestem TR,OW Bluestem BL,OW Bluestem BR,Johnson TL,Johnson TR,Johnson BL,Johnson BR,Present?,Notes
Whitney,Flood,6/7/23,12:34,LR,QL1,0,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL1,3,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL1,6,0,0,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,9,1,1,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,12,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,15,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,18,1,1,0,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,21,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,24,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,27,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,30,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL1,33,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL1,36,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,QL1,39,0,0,0,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,42,0,0,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,45,0,0,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,QL1,48,1,0,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,0,0,1,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,3,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,6,1,1,1,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,9,0,0,0,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,12,0,0,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,15,1,1,0,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,18,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,CTR,21,0,1,0,0,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,24,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,27,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,30,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,33,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,36,1,1,1,1,0,0,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,39,0,1,0,1,0,1,0,0,Yes,
Whitney,Flood,6/7/23,12:34,LR,CTR,42,0,0,0,0,0,0,0,0,No,
Whitney,Flood,6/7/23,12:34,LR,CTR,45,0,0,0,0,0,0,0,0,No,
