Genus_species,Native,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length
Andrena_wilkella,N,Ground,NA,Solitary,Specialist,Short
Megachile_concinna,N,Cavity,NA,Solitary,NA,Long
Megachile_rotundata,N,Cavity,NA,Solitary,NA,Long
Apis_mellifera,N,Open,Multivoltine,Eusocial,Generalist,Long
Andrena_sodalis,N,Ground,NA,Solitary,NA,Short
Andrena_vulpoides,N,Ground,NA,Solitary,NA,Short
Colletes_creticus,N,Ground,NA,Solitary,Generalist,Short
Hylaeus_hyalinatus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_leptocephalus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_punctatus,N,Multiple,NA,Solitary,Generalist,Short
Ceratina_cobaltina,N,Wood,NA,Subsocial,Generalist,Long
Ceratina_dallatorreana,N,Wood,NA,Subsocial,Generalist,Long
Anthophora_plumipes,N,Ground,NA,Solitary,Generalist,NA
Centris _eisenii,N,Ground,NA,Solitary,NA,Long
Centris_nitida,N,Wood,NA,Solitary,Specialist,Long
Anthidium_manicatum,N,Multiple,Bivoltine,Solitary,Generalist,Long
Anthidium_oblongatum,N,Multiple,Univoltine,Solitary,Generalist,Long
Bombus_distinguendus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_jonellus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lucorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_atratus,N,Multiple,Multivoltine,Primitively Eusocial,Generalist,Long
Bombus_bohemicus,N,Host Nest,NA,Parasitic,Generalist,NA
Bombus_flavidus,N,Host Nest,NA,Parasitic,Generalist,NA
Bombus_hypnorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Apis_hypnorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lapidarius,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,Short
Apis_lapidaria,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,Short
Bombus_lapponicus,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_lepidus,N,NA,NA,NA,Generalist,NA
Bombus_opifex,N,NA,NA,NA,Generalist,NA
Bombus_pascuorum,N,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_soroeensis,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Chelostoma_campanularum,N,Wood,Univoltine,Solitary,Specialist,Long
Chelostoma_rapunculi,N,Wood,Univoltine,Solitary,Specialist,Long
Hoplitis_anthocopoides,N,Multiple,NA,Plastic,NA,Long
Osmia_caerulescens,N,Cavity,NA,Solitary,Generalist,Long
Osmia_cornifrons,N,Cavity,NA,Solitary,NA,Long
Osmia_taurus,N,Cavity,NA,Solitary,NA,Long
Andrena_agilissima,N,Ground,Univoltine,Communal,Specialist,Short
Andrena_bicolor,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_bimaculata,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_carantonica,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_chrysosceles,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_colletiformis,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_flavipes,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_fulvida,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_haemorrhoa,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_hattorfiana,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_impunctata,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_labiata,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_labiatula,N,Ground,NA,Solitary,NA,Short
Andrena_nitida,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_nitidiuscula,N,Ground,NA,Solitary,Specialist,Short
Andrena_ovatula,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_pilipes,N,Ground,NA,Solitary,Generalist,Short
Andrena_nigrospina,N,Ground,NA,Solitary,Generalist,Short
Andrena_relata,N,Ground,NA,Solitary,Specialist,Short
Andrena_ruficrus,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_seminuda,N,Ground,Univoltine,Solitary,Generalist,Short
Andrena_similis,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_symphyti,N,Ground,Univoltine,Solitary,Specialist,Short
Andrena_trikalensis,N,Ground,NA,Solitary,NA,Short
Andrena_trimmerana,N,Ground,NA,Solitary,Generalist,Short
Andrena_variabilis,N,Ground,Bivoltine,Solitary,Generalist,Short
Andrena_verae,N,Ground,NA,Solitary,Generalist,Short
Hylaeus_albonitens,N,NA,NA,Solitary,NA,Short
Hylaeus_crassanus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_hellenicus,N,Multiple,NA,Solitary,NA,Short
Hylaeus_pictipes,N,Stem,Univoltine,Solitary,Generalist,Short
Hylaeus_strenuus,N,Wood,NA,Solitary,NA,Short
Anthidium_florentinum,N,Multiple,Univoltine,Solitary,Generalist,Long
Lithurgus_chrysurus,N,Wood,Univoltine,Solitary,Specialist,Long
Lithurgus_cornutus,N,Wood,Univoltine,Solitary,Specialist,Long
Lithurgus_scabrosus,N,Wood,NA,Solitary,Specialist,Long
Hoplitis_graeca,N,Cavity,NA,Solitary,Specialist,Long
Hoplitis_ravouxi,N,Cavity,NA,Solitary,Generalist,Long
Hoplitis_ebmeri,N,Cavity,NA,Solitary,Generalist,Long
Osmia_alticola,N,Cavity,NA,Solitary,Specialist,Long
Osmia_avosetta,N,Multiple,NA,Solitary,NA,Long
Osmia_breviata,N,Cavity,NA,Solitary,Specialist,Long
Osmia_palmae,N,Cavity,NA,Solitary,NA,Long
Osmia_parietina,N,Cavity,NA,Solitary,Generalist,Long
Halictus_compressus,N,Ground,NA,Plastic,Generalist,Short
Halictus_eurygnathopsis,N,Ground,NA,Plastic,Generalist,Short
Halictus_concinnus,N,Ground,NA,Plastic,Generalist,Short
Halictus_consobrinus,N,Ground,NA,Plastic,Generalist,Short
Halictus_maroccanus,N,Ground,NA,Plastic,Generalist,Short
Halictus_inpilosus,N,Ground,NA,Plastic,Generalist,Short
Halictus_lanei,N,Ground,NA,Plastic,Generalist,Short
Halictus_rossicus,N,Ground,NA,Plastic,Generalist,Short
Halictus_sexcinctus,N,Ground,NA,Plastic,Generalist,Short
Halictus_tectus,N,Ground,NA,Plastic,Generalist,Short
Halictus_tumulorum,N,Ground,NA,Plastic,Generalist,Short
Lasioglossum_boreale,N,Ground,NA,NA,Generalist,Short
Lasioglossum_discum,N,Ground,NA,NA,Specialist,Short
Lasioglossum_leucozonium,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_novascotiae,N,Ground,NA,NA,NA,Short
Lasioglossum_rufitarse,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_xanthopus,N,Ground,NA,Solitary,Generalist,Short
Lasioglossum_zonulum,N,Ground,NA,NA,Generalist,Short
Sphecodes_albilabris,N,Host Nest,NA,Parasitic,NA,Short
Sphecodes_atlanticus,N,Host Nest,NA,Parasitic,NA,Short
Coelioxys_coturnix,N,Host Nest,NA,Parasitic,NA,Long
Coelioxys_rufescens,N,Host Nest,NA,Parasitic,NA,Long
Megachile_apicalis,N,Cavity,NA,Solitary,Specialist,Long
Megachile_centuncularis,N,Cavity,NA,Solitary,Generalist,Long
Megachile_circumcincta,N,Ground,Univoltine,Solitary,Generalist,Long
Megachile_ericetorum,N,Cavity,Univoltine,Solitary,Specialist,Long
Megachile_lanata,N,Cavity,NA,Solitary,NA,Long
Megachile_sculpturalis,N,Cavity,NA,Solitary,NA,Long
Amegilla_quadrifasciata,N,Ground,Univoltine,Solitary,Generalist,Long
Anthophora_furcata,N,Wood,Univoltine,Solitary,NA,Medium
Anthophora_harmalae,N,Ground,NA,Solitary,Specialist,Medium
Melipona_quadrifasciata,N,Wood,NA,Eusocial,NA,Long
Ceratina _dentipes,N,Wood,NA,Subsocial,NA,Long
Ceratina_smaragdula,N,Wood,NA,Subsocial,Generalist,Long
Apis_smaragdula,N,Wood,NA,Subsocial,Generalist,Long
Xylocopa_alticola,N,Wood,Univoltine,Solitary,Generalist,Long
Xylocopa_appendiculata,N,Wood,Univoltine,Solitary,NA,Long
Nomada_antennata,N,Host Nest,NA,Parasitic,NA,Long
Nomada_argentata,N,Host Nest,Univoltine,Parasitic,NA,Long
Nomada_coronata,N,Host Nest,NA,Parasitic,NA,Long
Nomada_priscilla,N,Host Nest,NA,Parasitic,NA,Long
Halictus_senex,N,Ground,NA,Plastic,Generalist,Short
Halictus_eurygnathus,N,Ground,NA,Plastic,Generalist,Short
Bombus_simillimus,N,NA,NA,NA,Generalist,NA
Bombus_terrestris,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Apis_terrestris,N,Cavity ,Multivoltine,Primitively Eusocial,Generalist,NA
Andrena_ablegata,NA,Ground,NA,Solitary,NA,Short
Andrena_afimbriata,NA,Ground,NA,Solitary,NA,Short
Andrena_agoseridis,NA,Ground,NA,Solitary,NA,Short
Andrena_alamonis,NA,Ground,NA,Solitary,NA,Short
Andrena_albiculta,NA,Ground,NA,Solitary,NA,Short
Andrena_angusticrus,NA,Ground,NA,Solitary,NA,Short
Andrena_angustitarsata,NA,Ground,NA,Solitary,NA,Short
Andrena_annectens,NA,Ground,NA,Solitary,NA,Short
Andrena_anograe,NA,Ground,NA,Solitary,Specialist,Short
Andrena_apacheorum,NA,Ground,NA,Solitary,NA,Short
Andrena_aquila,NA,Ground,NA,Solitary,NA,Short
Andrena_arctostaphylae,NA,Ground,NA,Solitary,NA,Short
Andrena_ardis,NA,Ground,NA,Solitary,NA,Short
Andrena_arenicola,NA,Ground,NA,Solitary,NA,Short
Andrena_atypica,NA,Ground,NA,Solitary,NA,Short
Andrena_aurihirta,NA,Ground,NA,Solitary,NA,Short
Andrena_auripes,NA,Ground,NA,Solitary,NA,Short
Andrena_avulsa,NA,Ground,NA,Solitary,NA,Short
Andrena_balsamhorizae,NA,Ground,NA,Solitary,NA,Short
Andrena_beameri,NA,Ground,NA,Solitary,NA,Short
Andrena_bendensis,NA,Ground,NA,Solitary,NA,Short
Andrena_berberidis,NA,Ground,NA,Solitary,NA,Short
Andrena_biareola,NA,Ground,NA,Solitary,NA,Short
Andrena_birtwelli,NA,Ground,NA,Solitary,NA,Short
Andrena_biscutellata,NA,Ground,NA,Solitary,NA,Short
Andrena_bocensis,NA,Ground,NA,Solitary,NA,Short
Andrena_brevicornis,NA,Ground,NA,Solitary,NA,Short
Andrena_brevipalpis,NA,Ground,NA,Solitary,NA,Short
Andrena_bruneri,NA,Ground,NA,Solitary,NA,Short
Andrena_bucculenta,NA,Ground,NA,Solitary,NA,Short
Andrena_buckelli,NA,Ground,NA,Solitary,NA,Short
Andrena_bullata,NA,Ground,NA,Solitary,NA,Short
Andrena_caerulea,NA,Ground,NA,Solitary,NA,Short
Andrena_californiensis,NA,Ground,NA,Solitary,NA,Short
Andrena_caliginosa,NA,Ground,NA,Solitary,NA,Short
Andrena_calvata,NA,Ground,NA,Solitary,NA,Short
