Year,Site,Plot,Date,Time,Observer,Transect,Quad.,Bothriochloa_TR,Bothriochloa_TL,Bothriochloa_BR,Bothriochloa_BL,Total_Bothriochloa,Prop_Bothriochloa,Sorghastrum_TR,Sorghastrum_TL,Sorghastrum_BR,Sorghastrum_BL,Total_Sorghastrum,Prop_Sorghatrum,Present,Notes
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,3,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,6,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,9,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,12,0,1,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,15,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,18,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,21,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,24,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,27,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,30,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,33,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,36,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,39,0,0,1,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,42,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,45,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,9:00,"B. Durrington, S. Wilhelm",QL1,48,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,0,0,1,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,3,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,6,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,9,1,0,0,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,12,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,15,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,18,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,21,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,24,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,27,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,30,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,33,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,36,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,39,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,42,1,0,1,0,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,45,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,10:30,"B. Durrington, S. Wilhelm",CTR,48,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,0,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,3,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,6,1,1,1,1,4,1,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,9,0,1,1,1,3,0.75,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,12,0,1,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,15,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,18,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,21,1,0,0,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,24,0,0,1,0,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,27,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,30,0,0,1,1,2,0.5,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,33,0,0,0,1,1,0.25,0,0,0,0,0,0,yes,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,36,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,39,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,42,0,0,0,0,0,0,0,0,0,0,0,0,no,
2021,Stillhouse,50 Acres_s,6/9/21,12:53,"B. Durrington, S. Wilhelm",QL2,45,0,0,0,0,0,0,1,0,0,0,1,0.25,yes,
