Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
Clay Deer,-98.2223,32.8882,315,1/1/19,0,-0.1,8.1,16.2
Clay Deer,-98.2223,32.8882,315,1/2/19,0,-2.4,-0.8,0.7
Clay Deer,-98.2223,32.8882,315,1/3/19,6.37,-2.4,-0.9,0.5
Clay Deer,-98.2223,32.8882,315,1/4/19,4.36,0.1,1.5,2.8
Clay Deer,-98.2223,32.8882,315,1/5/19,0,-1,7.3,15.6
Clay Deer,-98.2223,32.8882,315,1/6/19,0,-0.8,10.8,22.5
Clay Deer,-98.2223,32.8882,315,1/7/19,0,5.7,12.9,20.1
Clay Deer,-98.2223,32.8882,315,1/8/19,0,5.7,13.6,21.5
Clay Deer,-98.2223,32.8882,315,1/9/19,0,2.4,10.4,18.4
Clay Deer,-98.2223,32.8882,315,1/10/19,0,2,7.8,13.6
Clay Deer,-98.2223,32.8882,315,1/11/19,2.54,5.8,9,12.2
Clay Deer,-98.2223,32.8882,315,1/12/19,11.07,4.4,8.3,12.2
Clay Deer,-98.2223,32.8882,315,1/13/19,0,1.5,4.5,7.5
Clay Deer,-98.2223,32.8882,315,1/14/19,0,0.3,1.8,3.3
Clay Deer,-98.2223,32.8882,315,1/15/19,0,0.3,4.2,8.2
Clay Deer,-98.2223,32.8882,315,1/16/19,0,4.7,8.4,12
Clay Deer,-98.2223,32.8882,315,1/17/19,0,7.1,13.3,19.4
Clay Deer,-98.2223,32.8882,315,1/18/19,0,2.8,8.3,13.9
Clay Deer,-98.2223,32.8882,315,1/19/19,1,0.9,12.2,23.5
Clay Deer,-98.2223,32.8882,315,1/20/19,0,-5.6,-0.2,5.3
Clay Deer,-98.2223,32.8882,315,1/21/19,0,-5.9,1.9,9.8
Clay Deer,-98.2223,32.8882,315,1/22/19,0,2.4,9.2,16
Clay Deer,-98.2223,32.8882,315,1/23/19,0,-3.5,6.6,16.8
Clay Deer,-98.2223,32.8882,315,1/24/19,0,-4.1,2.7,9.4
Clay Deer,-98.2223,32.8882,315,1/25/19,0,-4.2,5.4,15.1
Clay Deer,-98.2223,32.8882,315,1/26/19,0,-4.8,3,10.7
Clay Deer,-98.2223,32.8882,315,1/27/19,0,-4.7,4.5,13.7
Clay Deer,-98.2223,32.8882,315,1/28/19,0,-3.4,6.4,16.1
Clay Deer,-98.2223,32.8882,315,1/29/19,0,-5.4,4.8,15.1
Clay Deer,-98.2223,32.8882,315,1/30/19,0,-5.9,1,7.8
Clay Deer,-98.2223,32.8882,315,1/31/19,0,-0.2,6.1,12.4
Clay Deer,-98.2223,32.8882,315,2/1/19,0,5.2,9.7,14.3
Clay Deer,-98.2223,32.8882,315,2/2/19,0,11.6,14.4,17.2
Clay Deer,-98.2223,32.8882,315,2/3/19,0,12.1,15.8,19.5
Clay Deer,-98.2223,32.8882,315,2/4/19,0,13.5,19.2,24.9
Clay Deer,-98.2223,32.8882,315,2/5/19,0,13.2,20.4,27.6
Clay Deer,-98.2223,32.8882,315,2/6/19,4.48,14.1,19.9,25.7
Clay Deer,-98.2223,32.8882,315,2/7/19,5.15,2.7,14.1,25.6
Clay Deer,-98.2223,32.8882,315,2/8/19,0,-6.4,-0.3,5.8
Clay Deer,-98.2223,32.8882,315,2/9/19,0,-6.2,-1.8,2.5
Clay Deer,-98.2223,32.8882,315,2/10/19,0.91,0.6,2.2,3.8
Clay Deer,-98.2223,32.8882,315,2/11/19,3.45,1.8,5.3,8.8
Clay Deer,-98.2223,32.8882,315,2/12/19,3.92,3.3,8.6,14
Clay Deer,-98.2223,32.8882,315,2/13/19,0,-1.2,6.5,14.2
Clay Deer,-98.2223,32.8882,315,2/14/19,0,0.2,9.2,18.2
Clay Deer,-98.2223,32.8882,315,2/15/19,0,7.4,17.6,27.7
Clay Deer,-98.2223,32.8882,315,2/16/19,0,-1.2,10.9,23.1
Clay Deer,-98.2223,32.8882,315,2/17/19,0,-0.9,4.1,9.1
Clay Deer,-98.2223,32.8882,315,2/18/19,0,-0.8,6.1,13
Clay Deer,-98.2223,32.8882,315,2/19/19,0,-1.8,1.7,5.2
Clay Deer,-98.2223,32.8882,315,2/20/19,6.55,0.7,1.9,3
Clay Deer,-98.2223,32.8882,315,2/21/19,0,0.4,7.8,15.2
Clay Deer,-98.2223,32.8882,315,2/22/19,0.58,5.5,8.6,11.6
Clay Deer,-98.2223,32.8882,315,2/23/19,0.65,7.2,9.3,11.4
Clay Deer,-98.2223,32.8882,315,2/24/19,0,-0.1,10,20.2
Clay Deer,-98.2223,32.8882,315,2/25/19,0,-2.1,6.5,15
Clay Deer,-98.2223,32.8882,315,2/26/19,0,2,10.2,18.4
Clay Deer,-98.2223,32.8882,315,2/27/19,0,10,14.9,19.7
Clay Deer,-98.2223,32.8882,315,2/28/19,0,-3.3,7.4,18.2
Clay Deer,-98.2223,32.8882,315,3/1/19,0,-3.2,1.9,7
Clay Deer,-98.2223,32.8882,315,3/2/19,0,0.1,4.5,8.9
Clay Deer,-98.2223,32.8882,315,3/3/19,1.35,1,2.6,4.1
Clay Deer,-98.2223,32.8882,315,3/4/19,0,-7.6,-2.6,2.4
Clay Deer,-98.2223,32.8882,315,3/5/19,0,-8.2,-4.2,-0.2
Clay Deer,-98.2223,32.8882,315,3/6/19,0,-8.2,-0.4,7.4
Clay Deer,-98.2223,32.8882,315,3/7/19,0,-5.5,3.9,13.2
Clay Deer,-98.2223,32.8882,315,3/8/19,0,5.4,14.2,23
Clay Deer,-98.2223,32.8882,315,3/9/19,5.08,11.5,18.1,24.7
Clay Deer,-98.2223,32.8882,315,3/10/19,0,8.6,16.8,24.9
Clay Deer,-98.2223,32.8882,315,3/11/19,2.11,7.5,9.8,12.1
Clay Deer,-98.2223,32.8882,315,3/12/19,1.43,9.5,12.1,14.6
Clay Deer,-98.2223,32.8882,315,3/13/19,33.05,10.8,15.8,20.7
Clay Deer,-98.2223,32.8882,315,3/14/19,0.91,8.2,16.1,24
Clay Deer,-98.2223,32.8882,315,3/15/19,0,2.6,9.8,17
Clay Deer,-98.2223,32.8882,315,3/16/19,0,0.1,7.4,14.8
Clay Deer,-98.2223,32.8882,315,3/17/19,0,0.1,8,15.9
Clay Deer,-98.2223,32.8882,315,3/18/19,0,0.6,9.7,18.8
Clay Deer,-98.2223,32.8882,315,3/19/19,0,1.6,11.2,20.8
Clay Deer,-98.2223,32.8882,315,3/20/19,0,4.9,13.4,21.9
Clay Deer,-98.2223,32.8882,315,3/21/19,0,3.5,11.1,18.7
Clay Deer,-98.2223,32.8882,315,3/22/19,0,3.5,13.5,23.5
Clay Deer,-98.2223,32.8882,315,3/23/19,0,7.3,16,24.7
Clay Deer,-98.2223,32.8882,315,3/24/19,0,14.7,19.4,24.1
Clay Deer,-98.2223,32.8882,315,3/25/19,0,10.4,19.8,29.3
Clay Deer,-98.2223,32.8882,315,3/26/19,0,6.7,14.2,21.8
Clay Deer,-98.2223,32.8882,315,3/27/19,0,6,14.2,22.5
Clay Deer,-98.2223,32.8882,315,3/28/19,0,10.4,17.8,25.1
Clay Deer,-98.2223,32.8882,315,3/29/19,0,14.4,19.9,25.5
Clay Deer,-98.2223,32.8882,315,3/30/19,0,9.5,16.7,23.9
Clay Deer,-98.2223,32.8882,315,3/31/19,0,1.2,6.6,12
Clay Deer,-98.2223,32.8882,315,4/1/19,0,0.6,6.6,12.6
Clay Deer,-98.2223,32.8882,315,4/2/19,0,3,9.7,16.5
Clay Deer,-98.2223,32.8882,315,4/3/19,0,5,14.1,23.1
Clay Deer,-98.2223,32.8882,315,4/4/19,0,10.8,15.5,20.1
Clay Deer,-98.2223,32.8882,315,4/5/19,0,11.4,19.5,27.6
Clay Deer,-98.2223,32.8882,315,4/6/19,0.79,10.1,19.3,28.4
Clay Deer,-98.2223,32.8882,315,4/7/19,17.65,12.9,17.7,22.5
Clay Deer,-98.2223,32.8882,315,4/8/19,0,13.2,17.9,22.6
Clay Deer,-98.2223,32.8882,315,4/9/19,0,9.6,18.5,27.4
Clay Deer,-98.2223,32.8882,315,4/10/19,0,11.2,21.4,31.5
Clay Deer,-98.2223,32.8882,315,4/11/19,0,16.1,25.8,35.5
Clay Deer,-98.2223,32.8882,315,4/12/19,0,2.8,10.6,18.3
Clay Deer,-98.2223,32.8882,315,4/13/19,7.27,3.5,12,20.5
