ITIS_name,USDA_name,USDA_code,not_in_data
Abutilon fruticosum,Abutilon fruticosum,ABFR3,F
Acaciella angustissima,Acaciella angustissima,ACAN11,
Achillea millefolium,Achillea millefolium,ACMI2,F
Agalinis heterophylla,Agalinis heterophylla,AGHE4,F
Allium spp.,Allium spp.,ALLIU,F
Amsonia ciliata var. texana,Amsonia ciliata var. texana,AMCIT2,F
Amphiachyris dracunculoides,Amphiachyris dracunculoides,AMDR,F
Amsonia tabernaemontana,Amsonia tabernaemontana,AMTA2,T
Anemone berlandieri,Anemone berlandieri,ANBE,F
Apocynum cannabinum,Apocynum cannabinum,APCA,F
Argemone albiflora,Argemone albiflora,ARAL3,F
Arenaria serpyllifolia,Arenaria serpyllifolia,ARSE2,F
Asclepias asperula,Asclepias asperula,ASAS,F
Astragalus crassicarpus,Astragalus crassicarpus,ASCR2,F
Asclepias engelmanniana,Asclepias engelmanniana,ASEN,
Astragalus nuttalianus,Astragalus nuttalianus,ASNU4,F
Asclepias oenotheroides,Asclepias oenotheroides,ASOE,F
Asclepias tuberosa,Asclepias tuberosa,ASTU,
Asclepias viridiflora,Asclepias viridiflora,ASVI,F
Asclepias viridis,Asclepias viridis,ASVI2,F
Berlandiera X betonicifolia,Berlandiera betonicifolia,BEBE4,F
Bifora americana,Bifora americana,BIAM2,F
Bidens frondosa,Bidens frondosa,BIFR,F
Brassicaceae sp.,Brassicaceae sp.,BRASS2,F
Brickellia eupatorioides,Brickellia eupatorioides,BREU,F
Oenothera berlandieri ssp. pinifolia,Calylophus berlandieri ssp. pinifolius,CABEP2,F
Castilleja indivisa,Castilleja indivisa,CAIN13,F
Callirhoe involucrata,Callirhoe involucrata,CAIN2,F
Camelina microcarpa,Camelina microcarpa,CAMI2,F
Castilleja purpurea,Castilleja purpurea,CAPU11,F
Plectocephalus americanus,Centaurea americana,CEAM2,F
Centaurea americana,Centaurea americana,CEAM2,
Cephalanthus occidentalis,Cephalanthus occidentalis,CEOC2,F
Cerastium spp.,Cerastium spp.,CERAS,F
Centaurium texense,Centaurium texense,CETE2,F
Chamaesaracha spp.,Chamaesaracha spp.,CHAMA8,F
Chamaecrista fasciculata,Chamaecrista fasciculata,CHFA2,F
Euphorbia nutans,Chamaesyce nutans,CHNU9,F
Bradburia pilosa,Chrysopsis pilosa,CHPI8,F
Chrysopsis pilosa,Chrysopsis pilosa,CHPI8,
Chloracantha spinosa,Chloracantha spinosa,CHSP11,T
Chaerophyllum tainturieri,Chaerophyllum tainturieri,CHTA,F
Cichorium intybus,Cichorium intybus,CIIN,F
Cirsium spp.,Cirsium spp.,CIRSI,F
Cirsium texanum,Cirsium texanum,CITE2,
Claytonia virginica,Claytonia virginica,CLVI3,F
Cnidoscolus urens var. stimulosus,Cnidoscolus urens var. stimulosus,CNURS,T
Coreopsis basalis,Coreopsis basalis,COBA2,T
Cocculus carolinus,Cocculus carolinus,COCA,F
Conyza canadensis,Conyza canadensis,COCA5,F
Corydalis curvisiliqua,Corydalis curvisiliqua,COCU2,F
Zephyranthes chlorosolen,Cooperia drummondii,CODR2,F
