site,plotname,prop_seminat_500m,prop_grassy_500m,prop_woody_500m,prop_wetland_500m,prop_dev_500m,prop_ag_500m,prop_water_500m,prop_seminat_750m,prop_grassy_750m,prop_woody_750m,prop_wetland_750m,prop_dev_750m,prop_ag_750m,prop_water_750m,prop_seminat_1km,prop_grassy_1km,prop_woody_1km,prop_wetland_1km,prop_dev_1km,prop_ag_1km,prop_water_1km,NP_500m,TE_500m,NP_750m,TE_750m,NP_1km,TE_1km
Clay,Brushy,0.996495,0.38785,0.608645,0,0.003505,0,0,0.998456,0.518023,0.480433,0,0.001545,0,0,0.988248,0.506162,0.482086,0,0.002293,0,0.009458,15,7560,34,18660,70,37260
Clay,Deer,1,0.38345,0.61655,0,0,0,0,0.992817,0.373012,0.619805,0,0.007183,0,0,0.971937,0.393758,0.578179,0,0.028064,0.002005,0,22,10170,47,24810,82,49230
Clay,Gate,0.943157,0.694896,0.248261,0,0.056844,0,0,0.964249,0.639939,0.32431,0,0.03575,0,0,0.975386,0.593303,0.382083,0,0.024614,0,0,28,12750,37,25380,65,40530
Clay,Middle,0.99187,0.672474,0.319396,0,0.00813,0,0,0.990812,0.620725,0.370087,0,0.009188,0,0,0.990552,0.58288,0.407672,0,0.008588,0,8.59E-04,26,9120,35,19650,58,34080
Cross Timbers,50 Acres,0.971199,0.942397,0.028802,0,0.028802,0.321429,0,0.963683,0.938107,0.025576,0,0.036318,0.295652,0,0.970479,0.886787,0.083692,0,0.029521,0.230725,0,11,7200,23,15660,34,28440
Cross Timbers,East,0.965157,0.965157,0,0,0.034843,0.377468,0,0.958227,0.905756,0.052471,0,0.041773,0.345899,0,0.964195,0.867947,0.096248,0,0.035806,0.30593,0,17,8550,27,20250,44,35790
Cross Timbers,Highway,0.939815,0.849537,0.090278,0,0.060185,0.106481,0,0.957818,0.849279,0.108539,0,0.042181,0.24537,0,0.963355,0.861437,0.101918,0,0.036645,0.271686,0,27,8970,30,20490,47,32940
Cross Timbers,Middle,0.949657,0.922197,0.02746,0,0.050343,0.345538,0,0.959163,0.938744,0.020419,0,0.040837,0.398162,0,0.967298,0.915089,0.052209,0,0.032703,0.351119,0,14,7800,24,18420,42,34530
Crow,Cactus,0.994145,0.148712,0.845433,0,0,0,0.005855,0.997423,0.184021,0.813402,0,0,0,0.002577,0.998568,0.225086,0.773482,0,0,0,0.001432,21,10350,40,20280,61,38310
Crow,Cattle,0.994206,0.414832,0.579374,0,0,0.005794,0,0.856253,0.524438,0.331815,0.018541,0.058371,0.098468,0.062759,0.983104,0.436426,0.546678,0,0.007159,0.009737,0,17,8220,1659,791310,58,35100
Crow,Gas,0.936619,0.409624,0.526995,0,0.063381,0,0,0.946226,0.342813,0.603413,0,0.053774,0,0,0.959336,0.298683,0.660653,0,0.040665,0,0,33,13830,49,27480,92,49350
Crow,Hill,1,0.284553,0.715447,0,0,0,0,1,0.151235,0.848765,0,0,0,0,0.999144,0.168238,0.830906,0,0,0,8.57E-04,19,9930,24,17670,37,27360
Davis,Cedarsnew,0.904317,0.904317,0,0,0.094516,0.309218,0.001167,0.916925,0.878741,0.038184,0,0.073788,0.234778,0.007224,0.936299,0.824964,0.111335,0,0.056241,0.199139,0.006313,25,8340,49,19500,68,36450
Davis,Middlenew,0.899422,0.852023,0.047399,0,0.099422,0.145665,0.001156,0.919305,0.881001,0.038304,0,0.073034,0.271195,0.006639,0.936103,0.894842,0.041261,0,0.056447,0.290831,0.006304,25,10350,45,22680,64,38670
Davis,Townnew,0.641026,0.614219,0.026807,0,0.346155,0.171329,0.01049,0.667868,0.629248,0.03862,0,0.301235,0.243563,0.021112,0.705294,0.659228,0.046066,0,0.218884,0.295565,0.012303,66,14340,123,33270,153,48000
Hagerman,Bennett Hill,0.895293,0.584573,0.31072,0.006805,0.061599,0.098257,0.028936,0.814814,0.492798,0.322016,0.046296,0.038579,0.140946,0.01286,0.829226,0.426647,0.402579,0.107163,0.033238,0.124641,0.02149,989,408300,62,21120,98,42870
Hagerman,Crow Hill,0.949824,0.458576,0.491248,0.030338,0,0,0.004667,0.965909,0.423038,0.542871,0.128099,5.17E-04,0.039773,0.007748,0.950144,0.459599,0.490545,0.13553,0.005445,0.112321,0.004585,13,7620,20,18180,44,35100
Hagerman,Meadow Pond,0.942824,0.599767,0.343057,0,0.007001,0.050175,0,0.933058,0.495365,0.437693,0.084964,0.00618,0.07518,0.005149,0.931557,0.408075,0.523482,0.137457,0.0063,0.078751,0.008018,15,7170,29,17460,45,34740
Hagerman,Upper,0.921912,0.708625,0.213287,0.048951,0,0.025641,0.001166,0.738642,0.418581,0.320061,0.155181,0.003063,0.160286,0.026544,0.665808,0.328465,0.337343,0.112257,0.031215,0.151489,0.076747,20,8100,28,19530,89,39510
Lewisville,Airfield,0.789227,0.26815,0.521077,0,0.08431,0,0.106557,0.668375,0.241927,0.426448,0,0.073296,0,0.223988,0.554252,0.219582,0.33467,0.001431,0.068996,0,0.331234,42,14760,74,29190,115,47220
Lewisville,Dam,0.826697,0.606557,0.22014,0,0.015223,0.055035,0.15808,0.704334,0.537668,0.166666,0,0.03096,0.045408,0.256966,0.644147,0.441455,0.202692,0,0.064128,0.028629,0.285714,16,8340,43,18600,89,33870
Lewisville,Oakland,0.545139,0.325231,0.219908,0,0.137731,0,0.305556,0.542416,0.317738,0.224678,0,0.097686,0,0.341902,0.516333,0.277651,0.238682,0,0.09255,2.87E-04,0.381089,53,14010,79,26520,123,42840
Lewisville,Westlake,0.688235,0.223529,0.464706,0,0.160001,0,0.14,0.580448,0.24389,0.336558,0,0.139511,0,0.27444,0.502435,0.254368,0.248067,0,0.142939,0,0.348897,54,12720,104,27510,145,43800
Oka,Highway,0.927586,0.857471,0.070115,0,0.072414,0.473563,0,0.934048,0.869631,0.064417,0,0.065951,0.517382,0,0.922922,0.87106,0.051862,0,0.077077,0.53467,0,26,11250,46,23460,74,39060
Oka,River,0.99187,0.782811,0.209059,0,0,0.336818,0.006969,0.994851,0.753862,0.240989,0,0.00103,0.257467,0.003605,0.978223,0.743266,0.234957,0,0.019484,0.226361,0.002006,20,14130,37,25170,58,40290
Oka,South,0.959254,0.848661,0.110593,0,0.040744,0.461001,0,0.959362,0.856996,0.102366,0,0.040638,0.44393,0,0.960171,0.820057,0.140114,0,0.038395,0.398567,0.001146,23,8760,38,18960,60,38730
Oka,Town,0.886179,0.850174,0.036005,0,0.113822,0.570267,0,0.880346,0.824847,0.055499,0,0.119654,0.51222,0,0.887996,0.785756,0.10224,0,0.112005,0.473866,0,30,10110,58,23340,95,42210
Stillhouse,50 Acres,0.926573,0.926573,0,0,0.040793,0,0.032634,0.880474,0.863988,0.016486,0,0.028336,0,0.09119,0.795755,0.726334,0.069421,5.74E-04,0.021227,0,0.182444,5,3420,12,7500,38,17160
Stillhouse,Dana Peak,0.82168,0.541958,0.279722,0.008159,0.11655,0,0.055944,0.643596,0.427169,0.216427,0.009298,0.120868,0,0.230888,0.56639,0.385432,0.180958,0.005162,0.097218,0,0.333525,45,12510,90,28980,138,45330
Stillhouse,Union Grove,0.810968,0.544924,0.266044,0,0.102683,0,0.086348,0.687306,0.470588,0.216718,0.003096,0.101135,0,0.211558,0.552948,0.37407,0.178878,0.001717,0.080996,0,0.36577,46,14280,72,29310,92,42120
Stillhouse,WMA5,0.86636,0.648618,0.217742,0,0.051843,0,0.080645,0.774858,0.618238,0.15662,0,0.040186,0,0.184441,0.708965,0.559439,0.149526,0,0.050416,0,0.240332,24,9090,41,15630,73,26880
Waco,Area 111,0.797921,0.73903,0.058891,0.046189,0.099307,0.137413,0,0.762876,0.619072,0.143804,0.076492,0.073432,0.266701,0,0.715431,0.549384,0.166047,0.07558,0.106499,0.275694,0,21,7620,42,20340,104,42810
