SWG_ID,Date,site.plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M.F,full_plant_sp,site,plotname,taxon,year,season,fieldseason,insect.type,field_plant_sp,TRUE_SP
SWG17_0001,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Coleoptera,Meloidae,Epicauta,sericans,F,Oenothera speciosa,Stillhouse,50 Acres,Coleoptera_Meloidae_Epicauta_sericans,2017,summer,summer2017,beetle,,
SWG17_0002,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Halictidae,Lasioglossum,sp. TX-3,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Halictidae_Lasioglossum_sp. TX-3,2017,summer,summer2017,bee,,
SWG17_0003,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0004,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Bombyliidae,Geron,spp.,NA,Ratibida columnifera,Stillhouse,50 Acres,Diptera_Bombyliidae_Geron_spp.,2017,summer,summer2017,fly,,
SWG17_0005,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Coleoptera,Meloidae,Epicauta,sericans,NA,Monarda citriodora,Stillhouse,50 Acres,Coleoptera_Meloidae_Epicauta_sericans,2017,summer,summer2017,beetle,,
SWG17_0006,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0007,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Xylocopa,virginica,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Xylocopa_virginica,2017,summer,summer2017,bee,,
SWG17_0008,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0009,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Bombyliidae,Geron,spp.,NA,Monarda citriodora,Stillhouse,50 Acres,Diptera_Bombyliidae_Geron_spp.,2017,summer,summer2017,fly,,
SWG17_0010,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Tachinidae,Group 2,NA,NA,Ratibida columnifera,Stillhouse,50 Acres,Diptera_Tachinidae_Group 2,2017,summer,summer2017,fly,,
SWG17_0011,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0012,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Diptera,Syrphidae,Toxomerus,marginatus,NA,Phyla nodiflora,Stillhouse,50 Acres,Diptera_Syrphidae_Toxomerus_marginatus,2017,summer,summer2017,fly,,
SWG17_0013,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Lepidoptera,Nymphalidae,Junonia,coenia,NA,Phyla nodiflora,Stillhouse,50 Acres,Lepidoptera_Nymphalidae_Junonia_coenia,2017,summer,summer2017,lep,,
SWG17_0014,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Monarda citriodora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
SWG17_0015,8 VI 2017,Stillhouse 50 Acres,AM netting,TX: Bell Co; Salado,"31.009 N, 97.592 W",Hymenoptera,Apidae,Apis,mellifera,F,Phyla nodiflora,Stillhouse,50 Acres,Hymenoptera_Apidae_Apis_mellifera,2017,summer,summer2017,bee,,
