ITIS_name,USDA_name,USDA_code,not_in_data,Lifespan,Nativity,Seeded/Adventive,Flower Color
Abutilon fruticosum,Abutilon fruticosum,ABFR3,F,Perennial,N,Adventive,"Orange, Yellow"
Acaciella angustissima,Acaciella angustissima,ACAN11,,Perennial,N,Adventive,White
Achillea millefolium,Achillea millefolium,ACMI2,F,Perennial,N,Adventive,"White, Pink"
Agalinis heterophylla,Agalinis heterophylla,AGHE4,F,Annual,N,Adventive,"White, Pink, Yellow, Purple"
Allium spp.,Allium spp.,ALLIU,F,NA,NA,Adventive,NA
Amsonia ciliata var. texana,Amsonia ciliata var. texana,AMCIT2,F,Perennial,N,Adventive,Blue
Amphiachyris dracunculoides,Amphiachyris dracunculoides,AMDR,F,Annual,N,Adventive,Yellow
Amsonia tabernaemontana,Amsonia tabernaemontana,AMTA2,T,Perennial,N,Adventive,"Blue, Purple"
Anemone berlandieri,Anemone berlandieri,ANBE,F,Perennial,N,Adventive,"White, Blue, Purple, Violet"
Apocynum cannabinum,Apocynum cannabinum,APCA,F,Perennial,N,Adventive,"White, Green, Brown"
Argemone albiflora,Argemone albiflora,ARAL3,F,Annual,N,Adventive,"White, Yellow"
Arenaria serpyllifolia,Arenaria serpyllifolia,ARSE2,F,"Annual, Biennial",I,Adventive,White
Asclepias asperula,Asclepias asperula,ASAS,F,Perennial,N,Adventive,"White, Green"
Astragalus crassicarpus,Astragalus crassicarpus,ASCR2,F,Perennial,N,Adventive,"White, Blue, Purple"
Asclepias engelmanniana,Asclepias engelmanniana,ASEN,,Perennial,N,Adventive,"Green, Purple"
Astragalus nuttalianus,Astragalus nuttalianus,ASNU4,F,Annual,N,Adventive,Purple
Asclepias oenotheroides,Asclepias oenotheroides,ASOE,F,Perennial,N,Adventive,Green
Asclepias tuberosa,Asclepias tuberosa,ASTU,,Perennial,N,Seeded,"Orange, Yellow"
Asclepias viridiflora,Asclepias viridiflora,ASVI,F,Perennial,N,Adventive,"Yellow, Green"
Asclepias viridis,Asclepias viridis,ASVI2,F,Perennial,N,Seeded,"White, Yellow, Green, Purple"
Berlandiera X betonicifolia,Berlandiera betonicifolia,BEBE4,F,Perennial,N,Adventive,Yellow
Bifora americana,Bifora americana,BIAM2,F,Annual,N,Adventive,White
Bidens frondosa,Bidens frondosa,BIFR,F,Annual,N,Adventive,"Orange, Yellow"
Brassicaceae sp.,Brassicaceae sp.,BRASS2,F,NA,NA,Adventive,NA
Brickellia eupatorioides,Brickellia eupatorioides,BREU,F,Perennial,N,Adventive,"White, Pink, Yelow, Green"
