site,date,plotname,observer,start_time,transectID,position,herb,wood,canopy,litter,bare,rocky,notes,year,season,site.plot,year_cat,fieldseason
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,0,11,0,0,4,1,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,3,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,6,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,9,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,12,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,15,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,18,10,0,0,6,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,21,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,24,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,27,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,30,14,0,0,2,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,33,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,36,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,39,13,0,0,3,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,42,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,45,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,14:35,QL1,48,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,0,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,3,12,0,0,4,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,6,11,0,0,5,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,9,8,0,6,8,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,12,7,0,0,8,1,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,15,8,0,0,7.5,0.5,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
Stillhouse,9/11/17,WMA5,S. Jha,NA,CENTER,18,5,0,0,11,0,0,NA,2017,fall,Stillhouse WMA5,A,fall2017
