unique_ID,site,date,plot,observer,transectID,start_time,position,field_plant_sp,inflor_count,true_plant_sp,notes,year,season,plant_sp,samplept
SWG_0001,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,0,MOCI,5,NA,NA,2017,summer,MOCI,QL1.0
SWG_0002,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,0,RACO3,1,NA,NA,2017,summer,RACO3,QL1.0
SWG_0003,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,3,MOCI,4,NA,NA,2017,summer,MOCI,QL1.3
SWG_0004,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,3,PHNO2,7,NA,NA,2017,summer,PHNO2,QL1.3
SWG_0005,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,6,RACO3,3,NA,NA,2017,summer,RACO3,QL1.6
SWG_0006,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,6,MOCI,2,NA,NA,2017,summer,MOCI,QL1.6
SWG_0007,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,6,PHNO,8,PHNO2,"synonymous with ""PHNO""",2017,summer,PHNO2,QL1.6
SWG_0008,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,9,MOCI,10,NA,NA,2017,summer,MOCI,QL1.9
SWG_0009,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,9,PHNO,7,PHNO2,NA,2017,summer,PHNO2,QL1.9
SWG_0010,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,12,MOCI,9,NA,NA,2017,summer,MOCI,QL1.12
SWG_0011,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,12,PHNO2,16,NA,NA,2017,summer,PHNO2,QL1.12
SWG_0012,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,15,MOCI,6,NA,NA,2017,summer,MOCI,QL1.15
SWG_0013,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,15,PHNO2,6,NA,NA,2017,summer,PHNO2,QL1.15
SWG_0014,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,18,MOCI,2,NA,NA,2017,summer,MOCI,QL1.18
SWG_0015,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,21,MOCI,5,NA,NA,2017,summer,MOCI,QL1.21
SWG_0016,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,21,PHNO2,152,NA,NA,2017,summer,PHNO2,QL1.21
SWG_0017,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,21,STNIN,8,NA,NA,2017,summer,STNIN,QL1.21
SWG_0018,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,24,MOCI,33,NA,NA,2017,summer,MOCI,QL1.24
SWG_0019,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,24,PHNO2,2,NA,NA,2017,summer,PHNO2,QL1.24
SWG_0020,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,27,MOCI,14,NA,NA,2017,summer,MOCI,QL1.27
SWG_0021,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,30,MOCI,4,NA,NA,2017,summer,MOCI,QL1.30
SWG_0022,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,30,PHNO2,165,NA,NA,2017,summer,PHNO2,QL1.30
SWG_0023,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,33,MOCI,3,NA,NA,2017,summer,MOCI,QL1.33
SWG_0024,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,33,PHNO2,8,NA,NA,2017,summer,PHNO2,QL1.33
SWG_0025,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,36,MOCI,12,NA,NA,2017,summer,MOCI,QL1.36
SWG_0026,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,36,GLBI2,1,NA,NA,2017,summer,GLBI2,QL1.36
SWG_0027,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,39,MOCI,10,NA,NA,2017,summer,MOCI,QL1.39
SWG_0028,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,42,MOCI,9,NA,NA,2017,summer,MOCI,QL1.42
SWG_0029,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,42,STNIN,1,NA,NA,2017,summer,STNIN,QL1.42
SWG_0030,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,45,GLBI2,1,NA,NA,2017,summer,GLBI2,QL1.45
SWG_0031,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,45,PHNO2,28,NA,NA,2017,summer,PHNO2,QL1.45
SWG_0032,Stillhouse,6/8/17,50 Acres,K. Strain,QL1,17:38,45,MOCI,3,NA,NA,2017,summer,MOCI,QL1.45
