"","SWG_ID","site.plot","year","Method","Order","Family","Genus","Species","M.F","full_plant_sp","plot","taxon","insect.type","Genus_species","USDA_name","USDA_code"
"1","SWG18_5210","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"2","SWG18_5211","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Cirsium spp.","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Cirsium spp.","CIRSI"
"3","SWG18_5212","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"4","SWG18_5213","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Nemognatha","explanata","F","Cirsium spp.","50 Acres","Coleoptera_Meloidae_Nemognatha_explanata","beetle","Nemognatha_explanata","Cirsium spp.","CIRSI"
"5","SWG18_5214","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"6","SWG18_5215","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Zonitis","perforata","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Zonitis_perforata","beetle","Zonitis_perforata","Ratibida columnifera","RACO3"
"7","SWG18_5216","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"8","SWG18_5218","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"9","SWG18_5219","Stillhouse 50 Acres","2018","netting","Coleoptera","Cerambycidae","Typocerus","octonotatus","NA","Ratibida columnifera","50 Acres","Coleoptera_Cerambycidae_Typocerus_octonotatus","beetle","Typocerus_octonotatus","Ratibida columnifera","RACO3"
"10","SWG18_5220","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"11","SWG18_5221","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"12","SWG18_5222","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"13","SWG18_5223","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"14","SWG18_5224","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
"15","SWG18_5225","Stillhouse 50 Acres","2018","netting","Coleoptera","Meloidae","Epicauta","callosa","NA","Ratibida columnifera","50 Acres","Coleoptera_Meloidae_Epicauta_callosa","beetle","Epicauta_callosa","Ratibida columnifera","RACO3"
