site,plot,year,season,use,plot_notes
Clay,Brushy,2017,fall,T,
Clay,Deer,2017,fall,T,
Clay,Gate,2017,fall,T,
Clay,Middle,2017,fall,T,
Cross Timbers,50 Acres,2017,fall,T,
Cross Timbers,East,2017,fall,T,
Cross Timbers,Highway,2017,fall,T,
Cross Timbers,Middle,2017,fall,T,
Crow,Cactus,2017,fall,T,
Crow,Cattle,2017,fall,T,
Crow,Gas,2017,fall,T,
Crow,Hill,2017,fall,T,
Davis,Cedarsnew,2017,fall,T,
Davis,Middlenew,2017,fall,T,
Davis,Townnew,2017,fall,T,
Hagerman,Bennett Hill,2017,fall,T,
Hagerman,Crow Hill,2017,fall,T,
Hagerman,Meadow Pond,2017,fall,T,
Hagerman,Upper,2017,fall,T,
Lewisville,Airfield,2017,fall,T,
Lewisville,Dam,2017,fall,T,
Lewisville,Oakland,2017,fall,T,
Lewisville,Westlake,2017,fall,T,
Stillhouse,50 Acres,2017,fall,T,
Stillhouse,Dana Peak,2017,fall,T,
Stillhouse,WMA5,2017,fall,T,
Waco,Area 111,2017,fall,T,
Waco,Area 12,2017,fall,T,
Waco,Area 48,2017,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2017,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2017,fall,T,
Wagley,Food,2017,fall,T,
Wagley,House,2017,fall,T,
Wagley,Watertrap,2017,fall,T,
Whitney,50 Acres,2017,fall,T,
Whitney,Flood,2017,fall,T,
Whitney,Main,2017,fall,T,
Whitney,Woods,2017,fall,T,
Clay,Brushy,2017,summer,T,
Clay,Deer,2017,summer,T,
Clay,Gate,2017,summer,T,
Clay,Middle,2017,summer,T,
Cross Timbers,50 Acres,2017,summer,T,
Cross Timbers,East,2017,summer,T,
Cross Timbers,Highway,2017,summer,T,
Cross Timbers,Middle,2017,summer,T,
Crow,Cactus,2017,summer,T,
Crow,Cattle,2017,summer,T,
Crow,Gas,2017,summer,T,
Crow,Hill,2017,summer,T,
Davis,Cedarsnew,2017,summer,T,
Davis,Middlenew,2017,summer,T,
Davis,Townnew,2017,summer,T,
Hagerman,Bennett Hill,2017,summer,T,
Hagerman,Crow Hill,2017,summer,T,
Hagerman,Meadow Pond,2017,summer,T,
Hagerman,Upper,2017,summer,T,
Lewisville,Airfield,2017,summer,T,
Lewisville,Dam,2017,summer,T,
Lewisville,Oakland,2017,summer,T,
Lewisville,Westlake,2017,summer,T,
Stillhouse,50 Acres,2017,summer,T,
Stillhouse,Dana Peak,2017,summer,T,
Stillhouse,WMA5,2017,summer,T,
Waco,Area 111,2017,summer,T,
Waco,Area 12,2017,summer,T,
Waco,Area 48,2017,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2017,summer,T,covered in johnson grass. Remove?
Wagley,Airstrip,2017,summer,T,
Wagley,Food,2017,summer,T,
Wagley,House,2017,summer,T,
Wagley,Watertrap,2017,summer,T,
Whitney,50 Acres,2017,summer,T,
Whitney,Flood,2017,summer,T,
Whitney,Main,2017,summer,T,
Whitney,Woods,2017,summer,T,
Clay,Brushy,2018,fall,T,
Clay,Deer,2018,fall,T,
Clay,Gate,2018,fall,T,
Clay,Middle,2018,fall,T,
Cross Timbers,50 Acres,2018,fall,T,
Cross Timbers,East,2018,fall,T,
Cross Timbers,Highway,2018,fall,T,
Cross Timbers,Middle,2018,fall,T,
Crow,Cactus,2018,fall,T,
Crow,Cattle,2018,fall,T,
Crow,Gas,2018,fall,T,
Crow,Hill,2018,fall,T,
Davis,Cedarsnew,2018,fall,T,
Davis,Middlenew,2018,fall,T,
Davis,Townnew,2018,fall,T,
Hagerman,Bennett Hill,2018,fall,T,
Hagerman,Crow Hill,2018,fall,T,
Hagerman,Meadow Pond,2018,fall,T,
Hagerman,Upper,2018,fall,T,
Lewisville,Airfield,2018,fall,T,
Lewisville,Dam,2018,fall,T,
Lewisville,Oakland,2018,fall,T,
Lewisville,Westlake,2018,fall,T,
Stillhouse,50 Acres,2018,fall,T,
Stillhouse,Dana Peak,2018,fall,T,
Stillhouse,WMA5,2018,fall,T,
Waco,Area 111,2018,fall,T,
Waco,Area 12,2018,fall,T,
Waco,Area 48,2018,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2018,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2018,fall,T,
Wagley,Food,2018,fall,T,
Wagley,House,2018,fall,T,
Wagley,Watertrap,2018,fall,T,
Whitney,50 Acres,2018,fall,T,
Whitney,Flood,2018,fall,T,
Whitney,Main,2018,fall,T,
Whitney,Woods,2018,fall,T,
Clay,Brushy,2018,spring,T,
Clay,Deer,2018,spring,T,
Clay,Gate,2018,spring,T,
Clay,Middle,2018,spring,T,
Cross Timbers,50 Acres,2018,spring,T,
Cross Timbers,East,2018,spring,T,
Cross Timbers,Highway,2018,spring,T,
Cross Timbers,Middle,2018,spring,T,
Crow,Cactus,2018,spring,T,
Crow,Cattle,2018,spring,T,
Crow,Gas,2018,spring,T,
Crow,Hill,2018,spring,T,
Davis,Cedarsnew,2018,spring,T,
Davis,Middlenew,2018,spring,T,
Davis,Townnew,2018,spring,T,
Hagerman,Bennett Hill,2018,spring,T,
Hagerman,Crow Hill,2018,spring,T,
Hagerman,Meadow Pond,2018,spring,T,
Hagerman,Upper,2018,spring,T,
Lewisville,Airfield,2018,spring,T,
Lewisville,Dam,2018,spring,T,
Lewisville,Oakland,2018,spring,T,
Lewisville,Westlake,2018,spring,T,
Stillhouse,50 Acres,2018,spring,T,
Stillhouse,Dana Peak,2018,spring,T,
Stillhouse,WMA5,2018,spring,T,
