site,plotname,treatment,availwater,hotminc0,maxtempc0,hotminc15,maxtempc15,area_m2,firedate2
Clay,Deer,5 acre burn,11.6,152.9,172.01,492.4246667,578.33,23670.00074,8-Feb-18
Clay,Gate,50 acre burn,12.45061365,107.0596667,110.7,301.9153333,415.22,216448.3149,8-Feb-18
Clay,Brushy,control,6.08,,,,,22076.98024,
Clay,Middle,seed,11.55806622,208.561,228.87,154.847,303.07,17562.43246,8-Feb-18
Cross Timbers,Middle,5 acre burn,10.85269395,207.3853333,228.2,426.1126667,682.68,18858.30295,24-Jan-18
Cross Timbers,50 Acres,50 acre burn,11.24,317.692,338.53,334.2646667,564.65,214787.4897,24-Jan-18
Cross Timbers,East,control,11.24,,,,,20357.19213,
Cross Timbers,Highway,seed,11.24,72.97733333,74.71,307.866,537.61,20448.47096,24-Jan-18
Crow,Gas,5 acre burn,15,429.782,508,298.249,386.32,19959.16117,26-Feb-18
Crow,Cattle,50 acre burn,12.99,214.8483333,239.61,109.512,173.03,167654.8328,26-Feb-18
Crow,Cactus,control,12.99,,,,,20304.3093,
Crow,Hill,seed,6.08,,,176.025,232.57,22430.19068,26-Feb-18
Davis,Cedarsnew,5 acre burn,13.75,280.8936667,377.31,349.8056667,468.54,24136.81969,3-Mar-18
Davis,Middlenew,control,13.75,,,,,20316.62733,
Davis,Townnew,seed,13.75,,,,,17835.58154,3-Mar-18
Hagerman,Upper,5 acre burn,9.4,462.5363333,494.98,254.5096667,309.92,20479.58348,24-Jan-18
Hagerman,Crow Hill,50 acre burn,9.528799917,368.7233333,383.75,493.4466667,622.65,311542.9999,25-Jan-18
Hagerman,Meadow Pond,control,9.6,,,,,18530.4401,
Hagerman,Bennett Hill,seed,10.77642841,112.0323333,114.33,267.3573333,428.66,24536.82119,24-Jan-18
Lewisville,Westlake,5 acre burn,14.12006873,122.7703333,132.6,276.4976667,336.9,23115.21848,22-Mar-18
Lewisville,Dam,50 acre burn,17,508.3146667,551.92,523.3386667,627.12,407438.9836,22-Mar-18
Lewisville,Oakland,control,14.96304918,,,,,21003.60422,
Lewisville,Airfield,seed,12.83762183,384.1836667,525.84,357.235,481.29,25725.95596,22-Mar-18
Stillhouse,50 Acres,50 acre burn,11.4,276.6006667,357.62,295.88,392.44,17662.13472,13-Mar-18
Stillhouse,Dana Peak,control,7.72967783,,,,,20333.58999,
Stillhouse,WMA5,seed,12.21819597,471.023,504.49,472.002,551.29,16650.63151,13-Mar-18
Waco,Area 52,5 acre burn,17,238.5626667,283.08,307.867,480.97,20758.18826,20-Mar-18
Waco,Area 111,50 acre burn,17,267.087,388.26,234.295,436.64,277203.2728,14-Mar-18
Waco,Area 12,control,17,,,,,20510.40505,
Waco,Area 48,seed,17,503.1376667,525.84,552.3166667,599.35,20476.98711,20-Mar-18
Wagley,Watertrap,5 acre burn,8.579319784,314.9493333,328.14,184.6386667,304.7,22083.9716,8-Feb-18
Wagley,Airstrip,50 acre burn,6.08,,,,,128604.8286,14-Mar-18
Wagley,Food,control,11.11137959,,,,,9695.42864,
Wagley,House,seed,6.08,388.4043333,478.74,,,27613.72057,8-Feb-18
Whitney,Main,5 acre burn,15.01,92.67133333,102.15,241.4086667,367.95,19796.79776,21-Mar-18
Whitney,50 Acres,50 acre burn,11.95,310.6906667,372.15,392.6626667,575.15,234989.8649,21-Mar-18
Whitney,Flood,control,11.95,,,,,17608.32482,
Whitney,Woods,seed,11.95,249.387,323.6,482.0986667,499.1,30831.08102,21-Mar-18
