year,season,site,plot,siteplot,date,precip14,avgprecip14,avgtemp14,maxtemp14,gdd14,precip30,avgprecip30,avgtemp30,maxtemp30,gdd30,precip60,avgprecip60,avgtemp60,maxtemp60,gdd60,precip90,avgprecip90,avgtemp90,maxtemp90,gdd90,precip120,avgprecip120,avgtemp120,maxtemp120,gdd120,precip150,avgprecip150,avgtemp150,maxtemp150,gdd150,precip180,avgprecip180,avgtemp180,maxtemp180,gdd180,precip365,avgprecip365,avgtemp365,maxtemp365,gdd365
2018,spring,Clay,Brushy,Clay_Brushy,4/21/2018,0,0,15.01333333,34.4,107.95,28.18,0.909032258,15.77741935,34.4,231.4,177.52,2.910163934,13.9852459,34.4,400.5,183.86,2.02043956,12.04725275,34.4,508.7,193.45,1.598760331,9.719834711,34.4,550.25,223.29,1.478741722,9.92781457,34.4,686.55,253.08,1.398232044,10.70497238,34.4,882.85,764.42,2.088579235,17.87650273,39.6,3668.4
2019,spring,Clay,Brushy,Clay_Brushy,4/7/2019,17.77,1.184666667,15.52,29.3,100.5,60.45,1.95,14.09354839,29.3,181.55,86.82,1.423278689,10.26065574,29.3,251.05,101.54,1.115824176,9.636263736,29.3,336.35,186.09,1.537933884,8.887603306,29.3,396.85,197.87,1.310397351,8.839735099,29.3,492.4,436.49,2.411546961,9.889502762,29.3,673.75,924.22,2.525191257,18.15874317,43.8,3727.65
2017,fall,Clay,Brushy,Clay_Brushy,9/18/2017,0,0,24.26,37.6,192.55,78.13,2.520322581,25.26451613,37.6,433.15,184.28,3.020983607,27.1295082,39.6,1044.7,273.51,3.005604396,27.37032967,39.6,1580.35,374.97,3.09892562,26.7322314,39.6,2024.65,406.44,2.691655629,25.41324503,39.6,2346.1,511.5,2.825966851,24.38287293,39.6,2634.3,752.42,2.05579235,19.33743169,39.6,3900.45
2018,fall,Clay,Brushy,Clay_Brushy,9/18/2018,116.75,7.783333333,25.18,33.4,220.85,146,4.709677419,27.5516129,38.1,485.7,220.71,3.618196721,28.63278689,43.8,1136.5,292.61,3.215494505,29.1978022,43.8,1746.85,330.44,2.730909091,29.03801653,43.8,2303.7,401.59,2.659536424,27.5794702,43.8,2664.7,429.77,2.37441989,25.62596685,43.8,2896.25,759.57,2.075327869,18.80382514,43.8,3998.95
2019,fall,Clay,Brushy,Clay_Brushy,9/24/2019,5.73,0.382,27.99333333,35.8,236.7,58.62,1.890967742,28.00645161,39.9,483.25,97.74,1.602295082,29.1295082,39.9,1166.4,192.97,2.120549451,28.75274725,39.9,1705.5,397.53,3.285371901,27.85041322,39.9,2158.6,646.78,4.283311258,26.53046358,39.9,2497.15,751.5,4.151933702,24.86906077,39.9,2722.7,1187.26,3.243879781,17.71639344,39.9,3534.85
2017,summer,Clay,Brushy,Clay_Brushy,6/21/2017,20.25,1.35,27.29333333,36.2,234.8,100.78,3.250967742,25.09354839,37.5,431.05,133.13,2.182459016,22.58032787,37.5,786.5,238.19,2.617472527,21.46813187,37.5,1075.05,239.14,1.976363636,19.95702479,37.5,1295.05,290.38,1.923046358,18.39337748,37.5,1447.55,344.84,1.90519337,16.88176796,37.5,1556.75,777.62,2.124644809,19.67185792,40.5,4024.2
2018,summer,Clay,Brushy,Clay_Brushy,6/17/2018,33.47,2.231333333,29.22666667,39.9,243.65,42.02,1.355483871,28.32580645,39.9,485.55,108.98,1.786557377,24.6557377,39.9,908.35,137.16,1.507252747,21.60549451,39.9,1130.55,292.84,2.420165289,19.1785124,39.9,1285.7,292.84,1.939337748,16.78344371,39.9,1387,331.65,1.832320442,14.60607735,39.9,1432.7,741.37,2.025601093,18.35846995,39.9,3835.8
2019,summer,Clay,Brushy,Clay_Brushy,6/16/2019,95.14,6.342666667,24.39333333,34.1,207.2,225.68,7.28,24.33870968,34.1,432.1,466.42,7.646229508,21.83770492,34.1,727.95,515.71,5.667142857,19.63406593,35.6,931.45,567.15,4.687190083,16.71322314,35.6,1013.15,585.78,3.879337748,15.05430464,35.6,1112.8,637.81,3.523812155,13.74309392,35.6,1176.2,1313.18,3.587923497,17.82704918,43.8,3576.45
2018,spring,Clay,Deer,Clay_Deer,4/21/2018,0,0,15.00666667,34.2,107.3,29.38,0.947741935,15.78064516,34.2,230.7,190.47,3.122459016,13.99836066,34.2,399.05,196.98,2.164615385,12.08571429,34.2,507.6,207.55,1.715289256,9.767768595,34.2,549.15,239.02,1.582913907,9.97218543,34.2,685.75,268.87,1.485469613,10.75524862,34.2,883.8,774.57,2.116311475,17.90409836,39.5,3668.85
2019,spring,Clay,Deer,Clay_Deer,4/6/2019,0.87,0.058,15.39333333,29.3,100.05,42.31,1.36483871,13.73225806,29.3,176.5,68.63,1.125081967,10.40983607,29.3,255.6,82.18,0.903076923,9.671428571,29.3,337.55,170.83,1.411818182,8.945454545,29.3,394.4,182.4,1.20794702,8.958940397,29.3,496.95,427.41,2.361381215,10.05690608,31.1,688.95,898.9,2.456010929,18.21721311,43.7,3732.5
2017,fall,Clay,Deer,Clay_Deer,9/18/2017,0,0,24.27333333,37.6,193.05,58.52,1.887741935,25.26129032,37.6,433.75,163.98,2.688196721,27.09016393,39.5,1042.6,258.29,2.838351648,27.32967033,39.5,1577.4,366.91,3.03231405,26.70578512,39.5,2021.95,403.49,2.672119205,25.4013245,39.5,2343.7,508.42,2.808950276,24.37900552,39.5,2632.55,742.47,2.028606557,19.34918033,39.5,3899.9
2018,fall,Clay,Deer,Clay_Deer,9/18/2018,92.34,6.156,25.26666667,33.3,222.05,122.04,3.936774194,27.57096774,38.1,486.7,199.85,3.276229508,28.61803279,43.7,1135.5,271.34,2.981758242,29.17252747,43.7,1744.5,307.19,2.538760331,29.01983471,43.7,2301.25,383.08,2.536953642,27.56357616,43.7,2661.4,412.46,2.27878453,25.61325967,43.7,2891.9,754.16,2.060546448,18.83005464,43.7,3998.5
2019,fall,Clay,Deer,Clay_Deer,9/24/2019,3.76,0.250666667,28.01333333,35.6,237.2,64.44,2.078709677,28.00645161,39.8,484.25,100.23,1.643114754,29.1,39.8,1165.05,181.66,1.996263736,28.71648352,39.8,1703.4,367.23,3.034958678,27.83636364,39.8,2158.15,615.87,4.078609272,26.53245033,39.8,2498.3,729.2,4.028729282,24.87790055,39.8,2724.7,1172.73,3.204180328,17.78251366,39.8,3544.35
2017,summer,Clay,Deer,Clay_Deer,6/22/2017,23.8,1.586666667,27.3,36.1,234.55,105.55,3.40483871,25.31290323,37.3,436.1,144.55,2.369672131,22.70327869,37.3,792.65,251.07,2.759010989,21.54505495,37.3,1080.25,252.07,2.08322314,20.07024793,37.3,1305.4,302.47,2.003112583,18.49668874,37.3,1458.7,357.15,1.97320442,17.0198895,37.3,1573.5,768.32,2.099234973,19.67759563,40.5,4019.65
