"","year","site.plot","Order","Method","Family","abun","rich","prop_grassy_500m","prop_grassy_750m","prop_grassy_1km","prop_seminat_500m","prop_seminat_750m","prop_seminat_1km","flr_richness","flr_abun","precip30","precip60","avgprecip30","avgprecip60","avgtemp30","avgtemp60","maxtemp30","maxtemp60","precip30_sp18","precip60_sp18","avgprecip30_sp18","avgprecip60_sp18","avgtemp30_sp18","avgtemp60_sp18","maxtemp30_sp18","maxtemp60_sp18","percent_bare","percent_herb","percent_litter","treatment","availwater","area_m2"
"1","2018","Clay Brushy","Hymenoptera","netting","Mellitidae",0,0,0.38785,0.518023,0.506162,0.996495,0.998456,0.988248,5,15,42.02,108.98,1.355483871,1.786557377,28.32580645,24.6557377,39.9,39.9,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0238970588235294,0.444240196078431,0.498774509803922,"control",6.08,22076.98024
"2","2019","Clay Brushy","Hymenoptera","netting","Mellitidae",0,0,0.38785,0.518023,0.506162,0.996495,0.998456,0.988248,12,194,225.68,466.42,7.28,7.646229508,24.33870968,21.83770492,34.1,34.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.00735294117647059,0.834558823529412,0.10968137254902,"control",6.08,22076.98024
"3","2021","Clay Brushy","Hymenoptera","netting","Mellitidae",0,0,0.38785,0.518023,0.506162,0.996495,0.998456,0.988248,21,770,133.68,296.77,4.312258065,4.865081967,24.70645161,21.53934426,35.1,35.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.101102941176471,0.375,0.466911764705882,"control",6.08,22076.98024
"4","2018","Clay Deer","Hymenoptera","netting","Mellitidae",0,0,0.38345,0.373012,0.393758,1,0.992817,0.971937,1,3,40.22,111.74,1.297419355,1.831803279,28.43225806,24.73278689,39.7,39.7,29.38,190.47,0.947741935,3.122459016,15.78064516,13.99836066,34.2,34.2,0.0606617647058824,0.813112745098039,0.125612745098039,"5 acre burn",11.6,23670.00074
"5","2019","Clay Deer","Hymenoptera","netting","Mellitidae",0,0,0.38345,0.373012,0.393758,1,0.992817,0.971937,15,325,222.84,467.54,7.188387097,7.664590164,24.36451613,21.9557377,34.2,34.2,29.38,190.47,0.947741935,3.122459016,15.78064516,13.99836066,34.2,34.2,0,0.990808823529412,0.00919117647058824,"5 acre burn",11.6,23670.00074
"6","2021","Clay Deer","Hymenoptera","netting","Mellitidae",0,0,0.38345,0.373012,0.393758,1,0.992817,0.971937,7,305,139.24,311.23,4.491612903,5.102131148,24.9,21.87868852,35,35,29.38,190.47,0.947741935,3.122459016,15.78064516,13.99836066,34.2,34.2,0.00367647058823529,0.513480392156863,0.482843137254902,"5 acre burn",11.6,23670.00074
"7","2022","Clay Deer","Hymenoptera","netting","Mellitidae",0,0,0.38345,0.373012,0.393758,1,0.992817,0.971937,0,0,87.57,180.13,2.82483871,2.95295082,27.09677419,25.61639344,41.3,41.3,29.38,190.47,0.947741935,3.122459016,15.78064516,13.99836066,34.2,34.2,0,0.166666666666667,0.833333333333333,"5 acre burn",11.6,23670.00074
"8","2018","Clay Gate","Hymenoptera","netting","Mellitidae",0,0,0.694896,0.639939,0.593303,0.943157,0.964249,0.975386,0,0,40.24,108.98,1.298064516,1.786557377,28.42903226,24.73278689,39.9,39.9,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.181372549019608,0.525122549019608,0.293504901960784,"50 acre burn",12.45061365,216448.3149
"9","2019","Clay Gate","Hymenoptera","netting","Mellitidae",0,0,0.694896,0.639939,0.593303,0.943157,0.964249,0.975386,3,1927,241.89,482.63,7.802903226,7.911967213,24.30645161,21.88852459,34.1,34.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0116421568627451,0.985906862745098,0.00245098039215686,"50 acre burn",12.45061365,216448.3149
"10","2021","Clay Gate","Hymenoptera","netting","Mellitidae",0,0,0.694896,0.639939,0.593303,0.943157,0.964249,0.975386,11,170,133.68,296.77,4.312258065,4.865081967,24.93225806,21.91147541,35.1,35.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0281862745098039,0.488970588235294,0.482843137254902,"50 acre burn",12.45061365,216448.3149
"11","2022","Clay Gate","Hymenoptera","netting","Mellitidae",0,0,0.694896,0.639939,0.593303,0.943157,0.964249,0.975386,0,0,82.72,171.23,2.668387097,2.80704918,27.11290323,25.63278689,41.4,41.4,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0159313725490196,0.0526960784313725,0.92953431372549,"50 acre burn",12.45061365,216448.3149
"12","2018","Clay Middle","Hymenoptera","netting","Mellitidae",0,0,0.672474,0.620725,0.58288,0.99187,0.990812,0.990552,2,15,42.02,108.98,1.355483871,1.786557377,28.32580645,24.6557377,39.9,39.9,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.337009803921569,0.526348039215686,0.09375,"seed",11.55806622,17562.43246
"13","2019","Clay Middle","Hymenoptera","netting","Mellitidae",0,0,0.672474,0.620725,0.58288,0.99187,0.990812,0.990552,15,393,225.68,466.42,7.28,7.646229508,24.33870968,21.83770492,34.1,34.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.00612745098039216,0.972426470588235,0.014093137254902,"seed",11.55806622,17562.43246
"14","2021","Clay Middle","Hymenoptera","netting","Mellitidae",0,0,0.672474,0.620725,0.58288,0.99187,0.990812,0.990552,15,219,133.68,296.77,4.312258065,4.865081967,24.70645161,21.53934426,35.1,35.1,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0330882352941176,0.311887254901961,0.648897058823529,"seed",11.55806622,17562.43246
"15","2022","Clay Middle","Hymenoptera","netting","Mellitidae",0,0,0.672474,0.620725,0.58288,0.99187,0.990812,0.990552,0,0,82.72,171.23,2.668387097,2.80704918,27.16451613,25.70327869,41.4,41.4,28.18,177.52,0.909032258,2.910163934,15.77741935,13.9852459,34.4,34.4,0.0122549019607843,0.311274509803922,0.637254901960784,"seed",11.55806622,17562.43246
"16","2018","CrossTimbers 50 Acres","Hymenoptera","netting","Mellitidae",0,0,0.942397,0.938107,0.886787,0.971199,0.963683,0.970479,4,74,6.77,125.5,0.218387097,2.057377049,28.22258065,25.98852459,38.5,38.5,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.473651960784314,0.192401960784314,0.333946078431373,"50 acre burn",11.24,214787.4897
"17","2019","CrossTimbers 50 Acres","Hymenoptera","netting","Mellitidae",0,0,0.942397,0.938107,0.886787,0.971199,0.963683,0.970479,9,919,116.32,314,3.752258065,5.147540984,24.29032258,22.26721311,34.1,34.1,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.0275735294117647,0.857843137254902,0.114583333333333,"50 acre burn",11.24,214787.4897
"18","2021","CrossTimbers 50 Acres","Hymenoptera","netting","Mellitidae",0,0,0.942397,0.938107,0.886787,0.971199,0.963683,0.970479,10,603,73.84,227.97,2.381935484,3.737213115,25.46451613,22.60819672,34.7,34.7,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.048406862745098,0.633578431372549,0.318014705882353,"50 acre burn",11.24,214787.4897
"19","2022","CrossTimbers 50 Acres","Hymenoptera","netting","Mellitidae",0,0,0.942397,0.938107,0.886787,0.971199,0.963683,0.970479,0,0,48.16,203.8,1.553548387,3.340983607,26.47741935,24.03278689,38.6,38.6,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.00857843137254902,0.237132352941176,0.754289215686274,"50 acre burn",11.24,214787.4897
"20","2018","CrossTimbers East","Hymenoptera","netting","Mellitidae",0,0,0.965157,0.905756,0.867947,0.965157,0.958227,0.964195,4,134,6.77,125.5,0.218387097,2.057377049,28.22258065,25.98852459,38.5,38.5,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.00245098039215686,0.158088235294118,0.839460784313726,"control",11.24,20357.19213
"21","2019","CrossTimbers East","Hymenoptera","netting","Mellitidae",0,0,0.965157,0.905756,0.867947,0.965157,0.958227,0.964195,7,1668,116.32,314,3.752258065,5.147540984,24.30322581,22.1295082,34.1,34.1,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0,0.725490196078431,0.274509803921569,"control",11.24,20357.19213
"22","2021","CrossTimbers East","Hymenoptera","netting","Mellitidae",0,0,0.965157,0.905756,0.867947,0.965157,0.958227,0.964195,12,816,87.26,227.91,2.81483871,3.736229508,25.22580645,22.48360656,34.7,34.7,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.00919117647058824,0.524509803921569,0.465686274509804,"control",11.24,20357.19213
"23","2022","CrossTimbers East","Hymenoptera","netting","Mellitidae",0,0,0.965157,0.905756,0.867947,0.965157,0.958227,0.964195,0,0,44.94,203.8,1.449677419,3.340983607,26.98387097,24.30819672,38.6,38.6,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0,0.308823529411765,0.688112745098039,"control",11.24,20357.19213
"24","2018","CrossTimbers Highway","Hymenoptera","netting","Mellitidae",0,0,0.849537,0.849279,0.861437,0.939815,0.957818,0.963355,4,72,6.77,125.5,0.218387097,2.057377049,28.22258065,25.98852459,38.5,38.5,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.108455882352941,0.735294117647059,0.15625,"seed",11.24,20448.47096
"25","2019","CrossTimbers Highway","Hymenoptera","netting","Mellitidae",0,0,0.849537,0.849279,0.861437,0.939815,0.957818,0.963355,9,484,116.32,314,3.752258065,5.147540984,24.29032258,22.26721311,34.1,34.1,80.79,199.45,2.606129032,3.269672131,13.80967742,12.36721311,30.8,30.8,0.000612745098039216,0.928308823529412,0.071078431372549,"seed",11.24,20448.47096
